Size(base-pairs),Count
1,36915671
2,8632911
3,2021642
4,478168
5,114059
6,27783
7,5868
8,1612
9,593
10,160
11,46
12,21
13,13
14,12
15,12
16,12
17,12
18,3
19,2
20,2
21,2
22,2
23,2
24,2
25,2
