Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
932,122222223000000501030000000,333333855820000000,11111111333335204990000000,333335413030000000,11111112777778391410000000,1555556538570000000,333335253540000000,222235111100000000
933,122222223000000501030000000,333333854490000000,11111111333335204990000000,333335413030000000,11111112777778391410000000,1555556536880000000,333335253420000000,222235110890000000
934,122222223000000501030000000,333333854490000000,11111111333335194090000000,333335413030000000,11111112777778391320000000,1555556535850000000,333335253220000000,222235110890000000
935,122222223000000501010000000,333333854490000000,11111111333335193890000000,333335413030000000,11111112777778390230000000,1555556535760000000,333335253150000000,222235110890000000
936,122222223000000501010000000,333333853790000000,11111111333335193890000000,333335413030000000,11111112777778389030000000,1555556535760000000,333335253150000000,222235110890000000
937,122222223000000501010000000,333333853790000000,11111111333335193890000000,333335413030000000,11111112777778388030000000,1555556535760000000,333335253150000000,222235108590000000
938,122222223000000501010000000,333333853790000000,11111111333335193650000000,333335412550000000,11111112777778388030000000,1555556535750000000,333335253560000000,222235108390000000
939,122222223000000501010000000,333333852460000000,11111111333335193650000000,333335412550000000,11111112777778388030000000,333334313140000000,333335252370000000,222235108390000000
940,122222223000000500920000000,333333852460000000,11111111333335193650000000,333335412550000000,11111112777778388030000000,333334313140000000,333335252370000000,222235106860000000
941,122222223000000500920000000,333333852460000000,11111111333335193650000000,333335412360000000,11111112777778388030000000,333334313140000000,333335252370000000,222235106860000000
942,122222223000000500020000000,333333852460000000,11111111333335193170000000,333335412280000000,11111112777778387660000000,333334313140000000,333335252370000000,222235106860000000
943,122222223000000500020000000,333333852460000000,11111111333335193170000000,333335412270000000,11111112777778387660000000,333334311570000000,333335252370000000,222235106860000000
944,122222223000000500020000000,333333852360000000,11111111333335192960000000,333335403360000000,11111112777778387660000000,333334311570000000,333335251170000000,222235106860000000
945,122222223000000499910000000,333333852080000000,11111111333335192960000000,333335403360000000,11111112777778387660000000,333334311570000000,333335251170000000,222235106860000000
946,122222223000000499910000000,333333851000000000,11111111333335192150000000,333334171210000000,11111112777778387560000000,333334311570000000,333335251070000000,222235106860000000
947,122222223000000499700000000,333333851000000000,11111111333335192150000000,333334171210000000,11111112777778387560000000,333334311570000000,333335250960000000,222235105520000000
948,122222223000000499700000000,333333851000000000,11111111333335192150000000,333334171210000000,11111112777778387560000000,333334300150000000,333335250960000000,222235105520000000
949,122222223000000499700000000,333333850760000000,11111111333335180920000000,333334171000000000,11111112777778387560000000,333334300150000000,333335250960000000,222235105520000000
950,122222223000000499700000000,333333850760000000,11111111333335181120000000,333334168820000000,11111112777778387560000000,333334299940000000,333335250960000000,222235105540000000
951,122222223000000499700000000,333333850760000000,11111111333335180890000000,333334168820000000,11111112777778387560000000,333334299940000000,333335250950000000,222235103910000000
952,122222223000000499700000000,333333848880000000,11111111333335180890000000,333334168820000000,11111112777778390170000000,333334299940000000,333335250950000000,222235103910000000
953,122222223000000498610000000,333333848880000000,11111111333335180890000000,333334168820000000,11111112777778376900000000,333334299940000000,333335250950000000,222235103910000000
954,122222223000000498610000000,333333848870000000,11111111333335180890000000,333334168820000000,11111112777778376900000000,333334300020000000,333335250950000000,222235103850000000
955,122222223000000498610000000,333333848870000000,11111111333335180890000000,333334168410000000,11111112777778376900000000,333334299530000000,333335250950000000,222235103770000000
956,122222223000000498610000000,333333848870000000,11111111333335180890000000,333334168410000000,11111112777778375600000000,333334299530000000,333335249840000000,222235103770000000
957,122222223000000498610000000,333333846340000000,11111111333335179930000000,333334168300000000,11111112777778375600000000,333334299530000000,333335249840000000,222235103760000000
958,122222223000000498610000000,333333846340000000,11111111333335178800000000,333334168270000000,11111112666668496780000000,333334299530000000,333335249840000000,222235103300000000
959,122222223000000498610000000,333333846340000000,11111111333335178800000000,333334168270000000,11111112666668496780000000,333334299530000000,333335249840000000,222235103300000000
960,122222223000000498610000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668496780000000,333334299530000000,333335249830000000,222235103300000000
961,122222223000000498520000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668496780000000,333334299360000000,333335249820000000,222235103300000000
962,122222223000000498440000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668496790000000,333334299140000000,333335249940000000,222235099620000000
963,122222223000000498440000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668495560000000,333334299140000000,333335248710000000,222235099620000000
964,122222222888889401420000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668495470000000,333334299140000000,333335248710000000,222235097650000000
965,122222222888889401420000000,333333846340000000,11111111333335178800000000,333334168070000000,11111112666668495470000000,333334299140000000,333335246270000000,222235097650000000
966,122222222888889401420000000,333333846820000000,11111111333335178770000000,333334168070000000,11111112666668495470000000,333334298070000000,333335246270000000,222235097650000000
967,122222222888889401420000000,333333845790000000,11111111333335178660000000,333334168070000000,11111112666668495440000000,333334298070000000,333335246270000000,222235097650000000
968,122222222888889399910000000,333333846020000000,11111111333335178660000000,333334168070000000,11111112666668495440000000,333334297900000000,333335246270000000,222235097650000000
969,122222222888889399680000000,333333845690000000,11111111333335178660000000,333334168070000000,11111112666668494230000000,333334297580000000,333335246270000000,222235097650000000
970,122222222888889400070000000,333333845690000000,11111111333335169780000000,333334168070000000,11111112666668494230000000,333334296510000000,333335246270000000,222235096690000000
971,122222222888889398840000000,333333845690000000,11111111333335169780000000,333334168070000000,11111112666668494230000000,333334296510000000,333335246270000000,222235096690000000
972,122222222888889397220000000,333333845490000000,11111111333335167010000000,333334168070000000,11111112666668492900000000,333334296510000000,333335245370000000,222235095710000000
