Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
76,5804972420459000,3277598804703600,6896773777441800,5242224504469400,9402425064914200,3044894868539600,4875344997262400,4767376427435000
77,5803027732543600,3277598804703600,6894034399087600,5242224504469400,9398856394897000,3042534908313600,4875344997262400,4523648228246600
78,5803027732543600,3277598804703600,6894034399087600,5242224504469400,9398856394897000,3042534908313600,4875344997262400,4499342887067200
79,5801141362266000,3276492651100000,6842484468719200,5239778323151400,9398856394897000,3041809835757400,4875344997262400,4499342887067200
80,5801141362266000,3276492651100000,6842484468719200,5238914856786400,9398856394897000,3041809835757400,4875344997262400,4501938560474000
81,5801141362266000,3046693942581600,6842484468719200,5237919210281400,9398856394897000,3023177380613400,4851290216492800,4498925898711800
82,5801141362266000,3046693942581600,6594864570995200,5237919210281400,9398856394897000,3000497481761400,4829245850019400,4498925898711800
83,5576616763070000,2997647363461600,6594864570995200,5237919210281400,9398856394897000,3000497481761400,4829245850019400,4498925898711800
84,5576616763070000,2997647363461600,6562625719197600,5235151401958400,9121777546206800,3000497481761400,4829245850019400,4498925898711800
85,5551091978517800,2972891199111600,6562625719197600,5235151401958400,9099779636749200,3000497481761400,4825131391302400,4494079516563800
86,5533932590479600,2949048603523600,6562625719197600,5235151401958400,9099779636749200,3000497481761400,4825131391302400,4476639343123200
87,5533530581781600,2949048603523600,6562625719197600,5235151401958400,9075665768033800,3000497481761400,4578842848297600,4476639343123200
88,5556136044630400,2948553612418400,6562625719197600,5235151401958400,9075665768033800,3000497481761400,4578842848297600,4476639343123200
89,5321259764532000,2943578161087200,6562625719197600,5235151401958400,9075665768033800,3000497481761400,4578842848297600,4476639343123200
90,5314627785804400,2944447255494200,6562625719197600,5235151401958400,9069525780298400,2757478120070800,4578842848297600,4476639343123200
91,5314627785804400,2700270167747600,6562006994707600,5235151401958400,9069525780298400,2757478120070800,4356095171251000,4471778257829600
92,5314627785804400,2700270167747600,6361037977603600,5235151401958400,9069525780298400,2757636033306800,4356095171251000,4471778257829600
93,5314089775716400,2700270167747600,6089073844142600,5235151401958400,9069525780298400,2736724820651400,4356095171251000,4466678104291600
94,5278825009979600,2700270167747600,6089073844142600,5215906099938200,9069525780298400,2689433975551000,4356368766697000,4466506157291800
95,5278825009979600,2700270167747600,6063830372498200,5215906099938200,9069525780298400,2689433975551000,4354605954069800,4245904247833600
