Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
656,11112346555556504750434410,1777779097150852810,333335397891334710,444445847821371510,666667704951773110,666669113101043410,2222222971097478110,333334278160112810
657,11112346555556503242454310,1777779097150852810,333335397891334710,444445847821371510,666667704951773110,666669113101043410,2222222969953703810,333334278160112810
658,11112346555556503242454310,1777779097305750710,333335396838382310,444445846692615610,666667704951773110,666669113101043410,2222222968763810710,333334278160112810
659,11112346555556490896320910,1777779096444019010,333335396672922910,444445835767466710,666667704951773110,666669113101043410,2222222967289458710,333334278061355310
660,11112346555556490896320910,1777779096444019010,333335396372748610,444445835644549610,666667703785912410,666669112772252410,2222222965066095310,333334278061355310
661,11112346555556490896320910,1777779096444019010,333335396372748610,444445835644549610,666667703785912410,666669111499470410,2222222965066095310,333334278061355310
662,11112346555556477003760410,1777779096444019010,333335395236984510,444445835644549610,666667703785912410,666669111499470410,2222222965066095310,333334276641103010
663,11112346555556466088790010,1777779095467281510,333335394774454810,444445834605139810,666667703785912410,666669110423122110,2222222965066095310,333334276641103010
664,11112346555556466088790010,1777779083261500910,333335394786893410,444445834605139810,666667703785912410,666669110236743210,2222222965066095310,333334275780800810
665,11112346555556466023921710,1777779083261500910,333335394318111510,444445834466501410,666667703785912410,666669109089931510,2222222965066095310,333334275670612810
666,11112346555556466023921710,1777779081842227210,333335393109666010,444445832111994510,666667703785912410,666669107779453010,2222222962858000510,333334275331425210
667,11112346555556466023921710,1777779081842227210,333335393011584110,444445822079652810,666667703785912410,666669107779453010,2222222962858000510,333334275331425210
668,11112346555556466593289910,1777779081780152310,333335392631248410,444445820254282010,666667704100954310,666669107779453010,2222222962858000510,333334275331425210
669,11112346555556465080925610,1777779079285376410,333335392631248410,444445820254282010,666667702493955310,666669107779453010,2222222961720973510,333334275331425210
670,11112346555556462507230510,1777779077174711110,333335392631248410,444445710159937610,666667702493955310,666669107779453010,2222222961720973510,333334275331425210
671,11112346555556462507230510,1777779077174711110,333335392313067610,444445710159937610,666667702493955310,666669106058662510,2222222961581006010,333334275137353110
672,11112346555556462507230510,1777779076659944510,333335392313067610,444445710159937610,666667702493955310,666669104681652310,2222222961581006010,333334272339225110
673,11112346555556458697789710,1777779076659944510,333335392313067610,444445707987694110,666667592878785410,666669104681652310,2222222961581006010,333334272339225110
674,11112346555556458661170810,1777779073047848510,333335392374197210,444445708038564510,666667591071098810,666669104681652310,2222222960333846010,333334272339225110
675,11112346555556458233788110,1777779073047848510,333335383313287210,444445707784446510,666667591071098810,666669104681652310,2222222960333846010,333334271901867510
676,11112346555556458233788110,1777779072983793910,333335382650290110,444445707784446510,555556479692838810,666669104681652310,2222222960333846010,333334271901867510
677,11112346555556458233788110,1777779072955297510,333335382353227410,444445707784446510,555556469889427210,666669102007866810,2222222960333846010,333334271491106610
678,11112346555556458233788110,1777779072913586910,333335382353227410,444445707784446510,555556469793812210,666669102007866810,2222222947692203410,333334271491106610
679,11112346555556458233788110,1777779072913586910,333335381222474210,444445707784446510,555556469793812210,666669099614018710,2222222947692203410,333334271491106610
680,11112346555556458233788110,1777779072913586910,333335381222474210,444445707784446510,555556467663242510,666669088849804910,2222222947692203410,333334259391827910
681,11112346555556458233788110,1777779072913586910,333335368982333610,444445706912390510,555556467511146510,666669088849804910,2222222947692203410,333334259391827910
682,11112346555556457232315110,1777779072913586910,333335368982333610,444445708275890110,555556467511146510,666669086051365110,2222222947692203410,333334259201264810
683,11112346555556457232315110,1777779072913586910,333335368982333610,444445706749517110,555556467482398910,666669086051365110,2222222947311578010,333334259174738810
684,11112346555556442066454210,1777779075380108110,333335368838552510,444445705242019110,555556467482398910,666669084846910010,2222222947311578010,333334258000984610
685,11112346555556442066454210,1777779063368246610,333335368838552510,444445703095378610,555556467482398910,666669084846910010,2222222947311578010,333334256287558010
686,11112346555556438478583610,1777779063368246610,333335368064992810,444445703095378610,555556467482398910,666669084453620910,2222222947311578010,333334256287558010
687,11112346555556438478583610,1777779062904666910,333335368064992810,444445702862272310,555556467482398910,666669084453620910,2222222934987808210,333334256178601510
688,11112346555556438478583610,1777779063069993810,333335368064992810,444445702505988810,555556467243895610,666669082348657210,2222222933738450210,333334253912176410
